Customer Name,SurveyID,Club's Name,Social Media Source,Creation Date,Comment,Overall Score
"Emily R.","grx82ksj28ls","London City Central","Google Reviews","2024-05-01 18:23","Great equipment variety and staff are helpful. Can get busy during peak hours but overall a solid gym.",5
"Marcus J.","kd02xlp91mvd","Manchester Deansgate","Google Reviews","2024-05-03 07:41","Showers have been cold a few times recently. Machines are good but cleanliness could improve.",3
"Sophie L.","ppq19vx82bzz","Leeds City Centre North","Google Reviews","2024-05-05 13:05","Love the new cardio machines! Very clean and staff maintain good order even when it's busy.",4
"Daniel C.","mnc33afl29dd","Liverpool Waterfront","Google Reviews","2024-05-06 20:10","Too crowded in the evenings. Hard to find a free bench. Membership price is fair though.",3
"Amira S.","xkq18skw11zw","Birmingham Eastside","Google Reviews","2024-05-08 09:55","Friendly staff, great environment. Would love more stretching space.",5
"James H.","wpr77dvq08lt","Glasgow Central West","Google Reviews","2024-05-10 12:44","Some treadmills out of order for weeks. Needs better maintenance response.",2
"Oliver T.","yyt91pdl66ax","London South Riverside","Google Reviews","2024-05-12 16:03","Amazing location and good equipment. Showers a bit outdated but still functional.",4
"Grace P.","enn54wkf21bl","Manchester Trafford","Google Reviews","2024-05-13 08:21","Staff were rude when I asked for help. Really disappointing experience.",1
"Michael G.","hhd11vkc09zs","Leeds Clifton Road","Google Reviews","2024-05-15 17:50","Solid gym, good weights area, but locker rooms need better ventilation.",4
"Laura W.","vsk82mdp55qo","Birmingham Selly Oak","Google Reviews","2024-05-16 14:17","Lots of classes and great trainers! Joined recently and loving the vibes.",5
